TSDone,DocNum,ItemCode,BatchNum,Project,QCScore,Itemcount,Temperature,Brix,PoundsPressure,Color,Discoloration,InsectPresenceFrass,Softness,Bruising,Decay,DehydrationShrivel,AbnormalSoftness,UnhealedCutsSplits,Undersized,Oversized,InsectDamage,Scarring,DocType
 01/24/2017,48783,MXF,479498,BCN,85,150,47,0,0.00,0,0,0,9,0,0,0,0,0,0,0,11,0,IM
 01/24/2017,48783,HXF,479583,BCN,90,150,54,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,MXF,479497,TEP,87,150,47,0,0.00,0,0,0,9,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,SUF,479576,TEP,87,150,54,7,0.00,6,0,0,10,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,SLW,479526,TEP,83,150,48,7,0.00,6,0,0,10,0,0,2,0,0,0,0,0,0,IM
 01/24/2017,48783,SLT2,479527,TEP,90,150,49,7,0.00,6,0,0,0,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,HXF,479505,TEP,88,150,47,0,0.00,0,0,0,7,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,SLT2,479528,BCN,88,150,52,7,0.00,6,0,0,0,0,0,0,0,0,0,0,10,0,IM
 01/24/2017,48783,HXF,479521,BCN,88,150,50,0,0.00,0,0,0,5,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,HXF,479504,BCN,82,150,46,0,0.00,0,0,0,7,0,0,3,0,0,0,0,0,6,IM
 01/24/2017,48783,KAL,479627,TEP,90,150,56,0,0.00,0,25,0,0,0,0,0,0,0,0,0,0,10,IM
 01/24/2017,48783,MXF,479520,TEP,70,150,46,0,0.00,0,0,0,12,0,0,6,0,3,0,0,0,9,IM
 01/24/2017,48783,KAS,479629,TEP,88,150,57,0,0.00,0,15,0,0,0,0,0,0,0,0,0,0,40,IM
 01/24/2017,48783,MXF,479594,BCN,86,150,47,0,0.00,0,0,0,7,0,0,0,0,0,0,0,0,9,IM
 01/24/2017,48783,CXO,479591,TEP,88,150,46,0,0.00,0,0,0,3,0,0,0,0,0,0,0,0,5,IM
 01/24/2017,48783,KAM,479628,TEP,83,150,55,0,0.00,0,40,0,0,0,0,0,0,0,0,0,0,20,IM
 01/24/2017,48783,MXT2,479491,TEP,90,150,49,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,MXT2,479492,BCN,88,150,48,0,0.00,0,0,0,6,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,SUF,479522,BCN,88,150,48,7,0.00,6,0,0,6,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,HXF,479577,TEP,87,150,47,0,0.00,0,0,0,7,0,0,0,0,0,0,0,0,5,IM
 01/24/2017,48783,HXF,479493,BCN,90,150,50,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,HXF,479582,BCN,88,150,46,0,0.00,0,0,0,7,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,HXF,479582,BCN,88,150,46,0,0.00,0,0,0,7,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,HOB,479592,TEP,88,150,51,8,0.00,0,0,0,0,0,0,0,0,0,0,0,0,10,IM
 01/24/2017,48783,SLT2,479590,TEP,81,100,49,8,0.00,5,0,0,18,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48783,MXF,479589,TEP,87,150,47,0,0.00,0,0,0,6,0,0,0,0,0,0,0,0,4,IM
 01/24/2017,48785,ZGM,479580,TEP,89,150,50,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,65,IM
 01/24/2017,48785,ZGM,479585,BCN,88,150,50,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,75,IM
 01/24/2017,280402,SNO,479802,MUL,88,150,54,0,0.00,0,0,0,0,0,0,0,0,0,0,0,56,18,PO
 01/24/2017,48785,ZGF,479587,BCN,80,150,50,0,0.00,0,10,0,10,0,0,0,0,0,0,0,0,80,IM
 01/24/2017,48785,ZGX,479584,BCN,92,150,50,0,0.00,0,10,0,0,0,0,0,0,0,0,0,0,30,IM
